CP 1,107.22,115.64,A1-A2,Bahia Inglesa
CP 10,112.91,104.52,a1-a2,Bahia Inglesa
CP 11,83.88,85.43,a1-a2,Bahia Inglesa
CP 12,99.87,98.43,A1-A2,Bahia Inglesa
CP 13,107.18,123.38,L1-L2,Bahia Inglesa
CP 14,62.18,84.95,"L3-L5, l3-l5",Bahia Inglesa
CP 15,112.7,107.3,a1-a2,Bahia Inglesa
CP 16,85.73,87.63,a1-a2,Bahia Inglesa
CP 17,93.84,76.47,a1-a2,Bahia Inglesa
CP 18,91.13,100.55,A1-A2,Bahia Inglesa
CP 2,96.09,103.47,A1-A2,Bahia Inglesa
CP 20,90.49,82.49,a1-a2,Bahia Inglesa
CP 21,69.02,70.75,a1-a2,Bahia Inglesa
CP 22,72.92,70.38,a1-a2,Bahia Inglesa
CP 23,98.89,87.05,A1-A2,Bahia Inglesa
CP 24,114.44,118.58,A1-A2,Bahia Inglesa
CP 26,65.45,84.9,L1-L4,Bahia Inglesa
CP 27,47.42,53.38,a1-a2,Bahia Inglesa
CP 28,69.64,72.64,l1-l3,Bahia Inglesa
CP 29,66.16,74.61,L1-L5,Bahia Inglesa
CP 3,102.75,102.91,a1-a1,Bahia Inglesa
CP 30,59.24,84.69,L1-L5,Bahia Inglesa
CP 31,49.1,55.25,L1-L5,Bahia Inglesa
CP 32,52.93,58.79,L1-L3,Bahia Inglesa
CP 34,42.97,67.97,L1-L7,Bahia Inglesa
CP 35,42.89,59.95,L1-L7,Bahia Inglesa
CP 36,55.19,73.89,L1-L7,Bahia Inglesa
CP 38,73.48,85.41,A1-A2,Bahia Inglesa
CP 39,93.13,86.8,a1-a2,Bahia Inglesa
CP 4,82.46,92.57,l1-l3,Bahia Inglesa
CP 40,108.31,109.18,A1-A2,Bahia Inglesa
CP 41,88.55,103.15,A1-A2,Bahia Inglesa
CP 42,73.04,80.78,A1-L1,Bahia Inglesa
CP 43,98.01,105.59,A1-A2,Bahia Inglesa
CP 45,39.92,58.52,L3-L7,Bahia Inglesa
CP 46,80.03,96.49,L1-L3,Bahia Inglesa
CP 47,41.77,64.45,L3-L7,Bahia Inglesa
CP 48,84.86,93.8,a1-l1,Bahia Inglesa
CP 49,42.43,59.53,"L3-L5, l3-l5",Bahia Inglesa
CP 5,91.28,94.07,A1-A2,Bahia Inglesa
CP 51,74.42,82.38,l1-l2,Bahia Inglesa
CP 52,34.36,53.91,L3-L7,Bahia Inglesa
CP 53,31.93,52.45,"L3-L6, l3-l6",Bahia Inglesa
CP 54,37.88,58.87,"L3-L6, l3-l6",Bahia Inglesa
CP 55,42.88,65.71,"L3-L6, l3-l6",Bahia Inglesa
CP 56,43.19,63.76,"L3-L5, l3-l5",Bahia Inglesa
CP 57,42.09,66.62,"L3-L5, l3-l5",Bahia Inglesa
CP 58,92.65,85.13,a1-a2,Bahia Inglesa
CP 59,76.83,89.28,l1-l3,Bahia Inglesa
CP 6,106.7,105.89,a1-a1,Bahia Inglesa
CP 60,80.8,93.95,L1-L3,Bahia Inglesa
CP 61,88.96,96.26,a1-a2,Bahia Inglesa
CP 62,100.86,128.51,A1-A2,Bahia Inglesa
CP 63,95.22,113.32,a1-a2,Bahia Inglesa
CP 64,115.77,116.05,A1-A2,Bahia Inglesa
CP 65,99.16,106.11,A1-L1,Bahia Inglesa
CP 66,110.49,127.96,L1-L2,Bahia Inglesa
CP 67,102.78,118.9,A1-A2,Bahia Inglesa
CP 68,97.87,119.34,L1-L2,Bahia Inglesa
CP 69,98.03,114.77,L1-L2,Bahia Inglesa
CP 7,93.77,103.4,a1-a2,Bahia Inglesa
CP 8,96.35,105.76,A1-A2,Bahia Inglesa
CP 9,92.61,104.19,A1-A2,Bahia Inglesa
P13932,78.9,70.02,a1-a2,Basal Black Rock Sandstone
P5209,67.5,67.5,"A1-A2, L1-L3",Basal Black Rock Sandstone
P27667,90.02,71.45,A1-A2,Batesford
UF 132588,29.39,31.74,A1-A2,Bone Valley
UF 132593,33.39,30.31,a1-a2,Bone Valley
UF 132595,35.15,33.33,A1-A2,Bone Valley
UF 17839a_2_LR,32.54,37.17,a1-a2,Bone Valley
UF 17839b_1_LR,30.79,33.65,l1-l3,Bone Valley
UF 17840a_1_LR,42.07,46.9,L1-L5,Bone Valley
UF 17840a_2_LR,27.04,33.15,l1-l5,Bone Valley
UF 17840a_3_LR,35.01,40.32,L1-L5,Bone Valley
UF 17840a_4_LR,21.32,21.79,a1-a2,Bone Valley
